Env,p',Pc,P00,P01,P10,P11,N,n_state0,n_state1,n_action0,n_action1,n_s0_a0,n_s0_a1,n_s1_a0,n_s1_a1,NIAS_pval,file
1,0,0.78,0.765,0.235,0.205,0.795,400,200,200,194,206,153,47,41,159,0,traindataset_p_00_sampled400_EXTREME_ZERO_TOL.csv
2,0.1,0.7825,0.78,0.22,0.215,0.785,400,200,200,199,201,156,44,43,157,0,traindataset_p_01_sampled400_EXTREME_ZERO_TOL.csv
3,0.2,0.7625,0.8,0.2,0.275,0.725,400,200,200,215,185,160,40,55,145,0,traindataset_p_02_sampled400_EXTREME_ZERO_TOL.csv
4,0.3,0.76,0.82,0.18,0.3,0.7,400,200,200,224,176,164,36,60,140,0,traindataset_p_03_sampled400_EXTREME_ZERO_TOL.csv
5,0.4,0.7225,0.81,0.19,0.365,0.635,400,200,200,235,165,162,38,73,127,0,traindataset_p_04_sampled400_EXTREME_ZERO_TOL.csv
6,0.5,0.7025,0.83,0.17,0.425,0.575,400,200,200,251,149,166,34,85,115,0,traindataset_p_05_sampled400_EXTREME_ZERO_TOL.csv
7,0.6,0.6825,0.855,0.145,0.49,0.51,400,200,200,269,131,171,29,98,102,7.55E-15,traindataset_p_06_sampled400_EXTREME_ZERO_TOL.csv
8,0.7,0.6875,0.875,0.125,0.5,0.5,400,200,200,275,125,175,25,100,100,4.44E-16,traindataset_p_07_sampled400_EXTREME_ZERO_TOL.csv
9,0.8,0.66,0.915,0.085,0.595,0.405,400,200,200,302,98,183,17,119,81,1.00E-13,traindataset_p_08_sampled400_EXTREME_ZERO_TOL.csv
10,0.9,0.6175,0.91,0.09,0.675,0.325,400,200,200,317,83,182,18,135,65,6.83E-09,traindataset_p_09_sampled400_EXTREME_ZERO_TOL.csv
11,1,0.6,0.95,0.05,0.75,0.25,400,200,200,340,60,190,10,150,50,2.13E-08,traindataset_p_10_sampled400_EXTREME_ZERO_TOL.csv
